TF_Name	Positive	Negative	Target	Reg_Score	FDR	Direction
TIMELESS	111	16	127	4.29137108469252	0	ACTIVATED
MYBL2	126	35	161	4.17552265283356	0.0015	ACTIVATED
HELLS	102	38	140	3.71518268136538	0.00175	ACTIVATED
ASF1B	98	50	148	3.78512733371282	0.002	ACTIVATED
SPAG5	32	5	37	3.31368345022845	0.00225	ACTIVATED
UBE2C	67	21	88	3.58831547493278	0.002571	ACTIVATED
FOXM1	176	52	228	3.53962825842643	0.003	ACTIVATED
CENPI	42	12	54	3.72362717198817	0.0032	ACTIVATED
SORCS1	19	3	22	-2.64247155525583	0.003333	REPRESSED
TRAF2	14	14	28	3.42209997977476	0.003364	ACTIVATED
CBX3	68	61	129	3.50320862464844	0.0036	ACTIVATED
AURKB	53	22	75	2.77175220437296	0.003889	ACTIVATED
CCNA2	46	16	62	3.6141872865685	0.00484	ACTIVATED
MCM7	36	18	54	3.92707574958787	0.004857	ACTIVATED
ADCY5	34	11	45	-3.68506853593713	0.005	REPRESSED
TOP2A	147	51	198	3.79209769131514	0.005042	ACTIVATED
ZNF471	26	13	39	-3.27916840758528	0.005154	REPRESSED
ZNF778	27	46	73	-3.42653152166724	0.005176	REPRESSED
AFF4	65	95	160	-3.8195387395077	0.0052	REPRESSED
NRXN1	27	15	42	-3.17137012751527	0.0052	REPRESSED
RAD51	53	9	62	3.32487656750414	0.00525	ACTIVATED
BUB1B	54	10	64	3.23863250676232	0.005261	ACTIVATED
CXCL10	16	9	25	2.96765033325257	0.005318	ACTIVATED
TRIP13	115	77	192	3.68256199915977	0.005333	ACTIVATED
PSMC3IP	94	33	127	3.5070915894374	0.005419	ACTIVATED
ADCYAP1R1	12	10	22	-2.71637755203802	0.005421	REPRESSED
ATAD2	110	52	162	3.5356941182928	0.005423	ACTIVATED
DNMT3B	53	33	86	3.14479691859092	0.005433	ACTIVATED
GTSE1	47	10	57	3.48004862452748	0.005586	ACTIVATED
GRIN2D	41	23	64	2.53959165782604	0.005679	ACTIVATED
CENPF	253	139	392	3.42440265960807	0.005762	ACTIVATED
TCF3	26	20	46	3.75056474757761	0.005806	ACTIVATED
FEN1	73	13	86	2.85634293868886	0.005838	ACTIVATED
SOX10	48	19	67	-3.08698415193962	0.005852	REPRESSED
CHAF1A	64	43	107	3.22571020387069	0.00586	ACTIVATED
MCM2	111	42	153	3.57722874374948	0.005878	ACTIVATED
ZSCAN18	35	8	43	-2.8472557618224	0.005879	REPRESSED
FOXN3	40	61	101	-3.45707364749596	0.005971	REPRESSED
ASB5	18	9	27	-2.73427404059389	0.006025	REPRESSED
NUP62	28	23	51	2.9170618048858	0.006029	ACTIVATED
TYMS	38	19	57	2.97358877457472	0.006062	ACTIVATED
DTNA	31	5	36	-2.84223341781313	0.006103	REPRESSED
ZHX3	72	107	179	-3.24042955223073	0.006211	REPRESSED
CCL4L2	13	14	27	2.38747566839939	0.007227	ACTIVATED
TAF5	71	23	94	3.30365872830734	0.007326	ACTIVATED
ZNF536	41	39	80	-3.32333458628952	0.007378	REPRESSED
UHRF1	132	46	178	3.72605088060488	0.007596	ACTIVATED
CENPK	107	48	155	3.76944460082243	0.007754	ACTIVATED
CYP27B1	28	41	69	3.06740907811716	0.007796	ACTIVATED
TTF2	96	37	133	3.04270944899747	0.00784	ACTIVATED
BID	20	33	53	3.13598610063747	0.007868	ACTIVATED
RAB9B	27	8	35	-2.40887182601355	0.007873	REPRESSED
PRKN	41	30	71	-3.22333498541568	0.007893	REPRESSED
ZNF695	64	54	118	2.79727437068657	0.007904	ACTIVATED
AR	43	44	87	-2.88390674174082	0.007917	REPRESSED
ZBTB16	97	40	137	-3.49640814384858	0.007944	REPRESSED
POU6F1	46	35	81	-3.30684560171734	0.007961	REPRESSED
FANCA	39	25	64	2.91429661473462	0.008155	ACTIVATED
ZNF132	32	37	69	-3.08057399794647	0.008525	REPRESSED
NFIA	99	55	154	-3.2535396768907	0.008717	REPRESSED
CHRDL1	37	15	52	-2.76140859475076	0.008984	REPRESSED
COL1A1	47	15	62	3.41674454026086	0.008985	ACTIVATED
GFRA1	35	18	53	-3.3954152604326	0.009016	REPRESSED
NMI	48	23	71	3.52289436241268	0.009016	ACTIVATED
MYOCD	195	51	246	-3.48373626156623	0.009109	REPRESSED
BLM	37	12	49	2.97975156539464	0.009303	ACTIVATED
CD80	13	2	15	3.37938079990704	0.009382	ACTIVATED
HOXC8	38	37	75	3.24714200476589	0.009464	ACTIVATED
GDF7	113	82	195	-3.66818587892887	0.009522	REPRESSED
