TF_Name	Positive	Negative	Target	Reg_Score	FDR	Direction
FOXN3	40	61	101	-3.31626175892047	0	REPRESSED
E2F7	79	37	116	2.98247571088069	0	ACTIVATED
FOXM1	176	52	228	3.8090221132062	0	ACTIVATED
ZHX3	72	107	179	-3.4741077944953	0	REPRESSED
AFF4	65	95	160	-3.5212375292048	0	REPRESSED
ATAD2	110	52	162	3.63093237123408	0	ACTIVATED
UHRF1	132	46	178	3.69827466956728	0	ACTIVATED
PSMC3IP	94	33	127	3.51661827297062	0	ACTIVATED
HLF	111	58	169	-3.24075162998067	0	REPRESSED
HOXB7	74	45	119	3.04306536480174	0	ACTIVATED
ILF3	89	24	113	3.29046699309986	0	ACTIVATED
AFF3	70	30	100	-3.25179052215265	0	REPRESSED
MYBL2	126	35	161	3.77911811785487	0	ACTIVATED
NFIA	99	55	154	-3.54656324089366	0	REPRESSED
ZNF219	58	52	110	-2.93652733291836	0	REPRESSED
PML	74	31	105	2.92413727804488	0	ACTIVATED
ZNF654	55	77	132	-2.82441184248292	0	REPRESSED
ZNF695	64	54	118	2.8624351519059	0	ACTIVATED
RBL1	123	37	160	3.51049750315224	0	ACTIVATED
PKNOX2	68	65	133	-2.94506461071874	0	REPRESSED
TOP2A	147	51	198	3.66916214447642	0	ACTIVATED
ZBTB16	97	40	137	-3.55299951922113	0	REPRESSED
FOXP2	83	30	113	-2.95050593769089	0	REPRESSED
CHAF1A	64	43	107	3.12367000141892	0	ACTIVATED
CBX3	68	61	129	3.5809713761984	0	ACTIVATED
GDF7	113	82	195	-3.5040230347153	0	REPRESSED
HELLS	102	38	140	3.67770640945558	0	ACTIVATED
IL11	70	78	148	3.61652677782664	0	ACTIVATED
MCM2	111	42	153	3.4209825264678	0	ACTIVATED
ASF1B	98	50	148	3.73541101498228	0	ACTIVATED
CENPK	107	48	155	3.66050822050318	0	ACTIVATED
TTF2	96	37	133	3.14694153203396	0	ACTIVATED
TIMELESS	111	16	127	3.89716946221287	0	ACTIVATED
TRIP13	115	77	192	3.62877345660859	0	ACTIVATED
TADA2B	126	98	224	-3.02759276335089	0	REPRESSED
MYOCD	195	51	246	-3.50439093892817	0	REPRESSED
TRAIP	73	45	118	3.25672614225505	0	ACTIVATED
MAGI3	83	67	150	-3.12566548834647	0	REPRESSED
PIAS2	80	47	127	-3.11448817441548	0	REPRESSED
SGSM2	59	49	108	-3.20623048668601	0	REPRESSED
PARP14	112	52	164	3.43528734995343	2.326e-05	ACTIVATED
GABPB1	54	53	107	3.34991953531406	2.381e-05	ACTIVATED
MSH2	85	27	112	2.94989072211053	2.439e-05	ACTIVATED
CSRNP1	63	115	178	-2.97405773291412	6.522e-05	REPRESSED
CBX7	125	108	233	-3.53322989086733	6.667e-05	REPRESSED
SALL4	67	68	135	2.93259533520956	6.818e-05	ACTIVATED
PURA	53	47	100	-2.88692112547107	8.511e-05	REPRESSED
USP16	64	46	110	-2.6781430927701	9.804e-05	REPRESSED
CDCA7	56	48	104	3.03709826316625	1e-04	ACTIVATED
MAPK4	72	37	109	-2.97494955155359	0.000102	REPRESSED
ZZEF1	74	74	148	-3.21045593550711	0.0001042	REPRESSED
ZNF862	54	60	114	-3.3033726089081	0.0001154	REPRESSED
ID4	137	72	209	-2.85867784985881	0.0001509	REPRESSED
MXI1	112	95	207	-3.28376658744466	0.0002222	REPRESSED
KAT2B	136	84	220	-3.40220910556551	0.0002727	REPRESSED
PTTG1	177	67	244	3.4828468655502	0.0002857	ACTIVATED
